PassengerId,Survived,Pclass,Sex,Fare,Embarked,Age,Hometown
1,0.0,3,male,7.25,S,22.0,"Bridgerule, Devon, England"
2,1.0,1,female,71.2833,C,35.0,"New York, New York, US"
3,1.0,3,female,7.925,S,26.0,"Jyväskylä, Finland"
4,1.0,1,female,53.1,S,35.0,"Scituate, Massachusetts, US"
5,0.0,3,male,8.05,S,35.0,"Birmingham, West Midlands, England"
6,0.0,3,male,8.4583,Q,22.0,"Cork, Ireland"
7,0.0,1,male,51.8625,S,54.0,"Dorchester, Massachusetts, US"
8,0.0,3,male,21.075,S,2.0,"Bjuv, Skåne, Sweden"
9,1.0,3,female,11.1333,S,26.0,"St. Charles, Illinois, US"
10,1.0,2,female,30.0708,C,14.0,"Zahlé, Lebanon, Ottoman Empire"
11,1.0,3,female,16.7,S,4.0,"Motala, Östergötland, Sweden"
12,1.0,1,female,26.55,S,61.0,"Youngstown, Ohio, US"
13,0.0,3,male,8.05,S,19.0,"St Austell, Cornwall, England"
14,0.0,3,male,31.275,S,39.0,"Kisa, Östergötland, Sweden"
15,0.0,3,female,7.8542,S,14.0,"Salmunds, Gotland, Sweden"
16,1.0,2,female,16.0,S,56.0,"Lucknow, British India, UK[note 3]"
17,0.0,3,male,29.125,Q,2.0,"Athlone, Westmeath, Ireland"
18,1.0,2,male,13.0,S,23.0,"Harrow, London, England"
19,0.0,3,female,18.0,S,31.0,"Pittem, Belgium"
20,1.0,3,female,7.225,C,22.0,"Tebnine, Lebanon"
21,0.0,2,male,26.0,S,35.0,"Liverpool, Merseyside, England, UK"
22,1.0,2,male,13.0,S,34.0,"London, England, UK"
23,1.0,3,female,8.0292,Q,16.0,"Massbrook, Mayo, Ireland"
24,1.0,1,male,35.5,S,28.0,"New Britain, Connecticut, US"
25,0.0,3,female,21.075,S,8.0,"Bjuv, Skåne, Sweden"
26,1.0,3,female,31.3875,S,38.0,"Alseda, Småland, Sweden"
27,0.0,3,male,7.225,C,25.0,"Hadath, Lebanon"
28,0.0,1,male,263.0,S,19.0,"Winnipeg, Manitoba, Canada"
29,1.0,3,female,7.8792,Q,25.0,"Limerick, Limerick, Ireland"
30,0.0,3,male,7.8958,S,23.0,"Unknown, Bulgaria"
31,0.0,1,male,27.7208,C,40.0,"Mexico City, Mexico"
32,1.0,1,female,146.5208,C,45.0,"New York, New York, US"
33,1.0,3,female,7.75,Q,19.0,"Killaloe, Clare, Ireland"
34,0.0,2,male,10.5,S,66.0,"Guernsey, Channel Islands"
35,0.0,1,male,82.1708,C,28.0,"New York, New York, US"
36,0.0,1,male,52.0,S,42.0,"New York, New York, US"
37,1.0,3,male,7.2292,C,20.0,"Tripoli, Lebanon"
38,0.0,3,male,8.05,S,21.0,"Penwithick, Cornwall, England"
39,0.0,3,female,18.0,S,18.0,"Zwevezele, Belgium"
40,1.0,3,female,11.2417,C,14.0,"El-Hakour, Lebanon"
41,0.0,3,female,9.475,S,40.0,"Göteborg, Västergötland, Sweden"
42,0.0,2,female,21.0,S,27.0,"Plymouth, Devon, England"
43,0.0,3,male,7.8958,C,,"Vetren, Bulgaria"
44,1.0,2,female,41.5792,C,3.0,"Paris, France"
45,1.0,3,female,7.8792,Q,19.0,"Kilmacowen, Sligo, Ireland"
46,0.0,3,male,8.05,S,29.0,"Pontardawe, West Glamorgan, Wales"
47,0.0,3,male,15.5,Q,20.0,"Ballymahon, Longford, Ireland"
48,1.0,3,female,7.75,Q,24.0,"Ballydehob, Cork, Ireland"
49,0.0,3,male,21.6792,C,16.0,"Hardîne, Lebanon"
50,0.0,3,female,17.8,S,18.0,"Altdorf, Uri, Switzerland"
51,0.0,3,male,39.6875,S,7.0,"Ylihärmä, South Ostrobothnia, Finland"
52,0.0,3,male,7.8,S,21.0,"Newton Abbot, Devon, England"
53,1.0,1,female,76.7292,C,49.0,"New York, New York, US"
54,1.0,2,female,26.0,S,29.0,"Manchester, England"
55,0.0,1,male,61.9792,C,64.0,"Providence, Rhode Island, US"
56,1.0,1,male,35.5,S,45.0,"London, England, UK"
57,1.0,2,female,10.5,S,21.0,"Guernsey, Channel Islands"
58,0.0,3,male,7.2292,C,20.0,"Kafr Mishki, Lebanon"
59,1.0,2,female,27.75,S,4.0,"Bournemouth, Dorset, England"
60,0.0,3,male,46.9,S,13.0,"Fulham, England"
61,0.0,3,male,7.2292,C,22.0,"Kiğı, Turkey"
62,1.0,1,female,80.0,,38.0,"New York, New York, US"
63,0.0,1,male,83.475,S,45.0,"New York, New York, US"
64,0.0,3,male,27.9,S,5.0,"Hällekis, Västergötland, Sweden"
65,0.0,1,male,27.7208,C,54.0,"Cincinnati, Ohio, US"
66,1.0,3,male,15.2458,C,7.0,"Hardîne, Lebanon"
67,1.0,2,female,10.5,S,29.0,"East Orange, New Jersey, US"
68,0.0,3,male,8.1583,S,19.0,"Bristol, Avon, England"
69,1.0,3,female,7.925,S,17.0,"Kullaa, Finland"
70,0.0,3,male,8.6625,S,26.0,"Zürich, Switzerland"
71,0.0,2,male,10.5,S,32.0,"St. Ives, Cornwall, England"
72,0.0,3,female,46.9,S,16.0,"Fulham, England"
73,0.0,2,male,73.5,S,21.0,"Fritham, Hampshire, England"
74,0.0,3,male,14.4542,C,26.0,"Agios Sostis, Peloponnese, Greece"
75,1.0,3,male,56.4958,S,32.0,"Hong Kong, China"
76,0.0,3,male,7.65,S,25.0,"Bergen, Norway"
77,0.0,3,male,7.8958,S,23.0,"Debnevo, Troyan, Bulgaria"
78,0.0,3,male,8.05,S,28.0,"London, England"
79,1.0,2,male,29.0,S,0.83,"Bangkok, Siam"
80,1.0,3,female,12.475,S,31.0,"New York City, New York, US"
81,0.0,3,male,9.0,S,22.0,"Ruiselede, West Flanders, Belgium"
82,1.0,3,male,9.5,S,29.0,"Haaltert, East Flanders, Belgium"
83,1.0,3,female,7.7875,Q,31.0,"Lahardane, Mayo, Ireland"
84,0.0,1,male,47.1,S,31.0,"Montevideo, Uruguay"
85,1.0,2,female,10.5,S,17.0,"Jersey, Channel Islands"
86,1.0,3,female,15.85,S,33.0,"Kotka, Finland"
87,0.0,3,male,34.375,S,16.0,"Rotherfield, East Sussex, England"
88,0.0,3,male,8.05,S,20.0,"London, England"
89,1.0,1,female,263.0,S,23.0,"Winnipeg, Manitoba, Canada"
90,0.0,3,male,8.05,S,24.0,"Milan[83], Italy"
91,0.0,3,male,8.05,S,29.0,"London, England"
92,0.0,3,male,7.8542,S,20.0,"Kalfsnäs, Småland, Sweden"
93,0.0,1,male,61.175,S,46.0,"Amenia, North Dakota, US"
94,0.0,3,male,20.575,S,25.0,"Bartley Farm, Hampshire, England"
95,0.0,3,male,7.25,S,59.0,"London, England"
96,0.0,3,male,8.05,S,22.0,"Heron's Ghyll, East Sussex, England"
97,0.0,1,male,34.6542,C,71.0,"New York, New York, US"
98,1.0,1,male,63.3583,C,23.0,"New York, New York, US"
99,1.0,2,female,23.0,S,34.0,"Southampton, Hampshire, England, UK"
100,0.0,2,male,26.0,S,34.0,"Vitebsk, Russian Empire"
101,0.0,3,female,7.8958,S,28.0,"Vagovina, Croatia"
102,0.0,3,male,7.8958,S,29.0,"Belish, Troyan, Bulgaria"
103,0.0,1,male,77.2875,S,21.0,"Brunswick, Maine, US"
104,0.0,3,male,8.6542,S,33.0,"Bäckebo, Småland, Sweden"
105,0.0,3,male,7.925,S,37.0,"Ruotsinpyhtää, Finland"
106,0.0,3,male,7.8958,S,28.0,"Gumostnik, Lovec, Bulgaria"
107,1.0,3,female,7.65,S,21.0,"Ålesund, Møre og Romsdal, Norway"
108,1.0,3,male,7.775,S,29.0,"Bergen, Norway"
109,0.0,3,male,7.8958,S,38.0,"Bosanska Krupa, Bosnia"
110,1.0,3,female,24.15,Q,28.0,"Askeaton, Limerick, Ireland"
111,0.0,1,male,52.0,S,46.0,"Worcester, Massachusetts, US"
112,0.0,3,female,14.4542,C,16.0,"Unknown, Syria"
113,0.0,3,male,8.05,S,22.0,"Cambridge, Cambridgeshire, England"
114,0.0,3,female,9.825,S,20.0,"Paavola, Northern Ostrobothnia, Finland"
115,0.0,3,female,14.4583,C,17.0,"Beirut, Lebanon"
116,0.0,3,male,7.925,S,21.0,"Heinola, Finland"
117,0.0,3,male,7.75,Q,61.0,"Charleville, Cork, Ireland"
118,0.0,2,male,21.0,S,29.0,"Plymouth, Devon, England"
119,0.0,1,male,247.5208,C,24.0,"Montreal, Quebec, Canada"
120,0.0,3,female,31.275,S,2.0,"Kisa, Östergötland, Sweden"
121,0.0,2,male,73.5,S,20.0,"Fritham, Hampshire, England"
122,0.0,3,male,8.05,S,19.0,"Kingston upon Thames, London, England"
123,0.0,2,male,30.0708,C,28.0,"Zahlé, Lebanon, Ottoman Empire[note 7]"
124,1.0,2,female,13.0,S,37.0,"Bude, Cornwall, England"
125,0.0,1,male,77.2875,S,54.0,"Brunswick, Maine, US"
126,1.0,3,male,11.2417,C,12.0,"El-Hakour, Lebanon"
127,0.0,3,male,7.75,Q,20.0,"Craghbrien, Clare, Ireland"
128,1.0,3,male,7.1417,S,24.0,"Trondheim, Norway"
129,1.0,3,female,22.3583,C,2.0,"Sar'al, Syria[81]"
130,0.0,3,male,6.975,S,45.0,"Effington Rut, South Dakota, US"
131,0.0,3,male,7.8958,C,33.0,"Hrastelnica, Croatia"
132,0.0,3,male,7.05,S,20.0,"Funchal, Madeira Islands, Portugal"
133,0.0,3,female,14.5,S,47.0,"St Austell, Cornwall, England"
134,1.0,2,female,26.0,S,37.0,"Bromsgrove, Worcestershire, England"
135,0.0,2,male,13.0,S,25.0,"Porthallow, Cornwall, England"
136,0.0,2,male,15.0458,C,23.0,"Paris, France"
137,1.0,1,female,26.2833,S,19.0,"New York, New York, US"
138,0.0,1,male,53.1,S,37.0,"Scituate, Massachusetts, US"
139,0.0,3,male,9.2167,S,16.0,"Hedesunda, Gävleborg, Sweden"
140,0.0,1,male,79.2,C,24.0,"Paris, France"
141,0.0,3,female,15.2458,C,40.0,"Unknown, Lebanon"
142,1.0,3,female,7.75,S,22.0,"Kisa, Östergötland, Sweden"
143,1.0,3,female,15.85,S,24.0,"Helsinki, Finland"
144,0.0,3,male,6.75,Q,19.0,"Glanmire, Cork, Ireland"
145,0.0,2,male,11.5,S,17.0,"San Ambrosio, Córdoba, Argentina"
146,0.0,2,male,36.75,S,19.0,"St. Ives, Cornwall, England"
147,1.0,3,male,7.7958,S,27.0,"Malmö, Skåne, Sweden"
148,0.0,3,female,34.375,S,7.0,"Rotherfield, East Sussex, England"
149,0.0,2,male,26.0,S,32.0,"Nice, France"
150,0.0,2,male,13.0,S,42.0,"London, England"
151,0.0,2,male,12.525,S,51.0,"Jacksonville, Florida, US"
152,1.0,1,female,66.6,S,22.0,"Isleworth, London, England, UK"
153,0.0,3,male,8.05,S,48.0,"Bournemouth, Dorset, England"
154,0.0,3,male,14.5,S,35.0,"London, England"
155,0.0,3,male,7.3125,S,27.0,"Sunnhordland, Norway"
156,0.0,1,male,61.3792,C,51.0,"Geneva, Switzerland"
157,1.0,3,female,7.7333,Q,17.0,"Esker, Longford, Ireland"
158,0.0,3,male,8.05,S,30.0,"London, England"
159,0.0,3,male,8.6625,S,37.0,"Pisac, Croatia"
160,0.0,3,male,69.55,S,4.0,"Peterborough, Cambridgeshire, England"
161,0.0,3,male,16.1,S,44.0,"Bournemouth, Dorset, England"
162,1.0,2,female,15.75,S,40.0,"Aberdeen, Aberdeenshire, Scotland"
163,0.0,3,male,7.775,S,26.0,"Fridhemsberg, Halland, Sweden"
164,0.0,3,male,8.6625,S,17.0,"Brezik, Croatia"
165,0.0,3,male,39.6875,S,1.0,"Ylihärmä, South Ostrobothnia, Finland"
166,1.0,3,male,20.525,S,9.0,"Strood, Kent, England"
167,1.0,1,female,55.0,S,48.0,"St Leonards-on-Sea, East Sussex, England, UK"
168,0.0,3,female,27.9,S,43.0,"Hällekis, Västergötland, Sweden"
169,0.0,1,male,25.925,S,60.0,"New York, New York, US"
170,0.0,3,male,56.4958,S,24.0,"Hong Kong, China"
171,0.0,1,male,33.5,S,61.0,"Brooklyn, New York, US"
172,0.0,3,male,29.125,Q,4.0,"Athlone, Westmeath, Ireland"
173,1.0,3,female,11.1333,S,1.0,"St. Charles, Illinois, US"
174,0.0,3,male,7.925,S,21.0,"Mountain Home, Idaho, US"
175,0.0,1,male,30.6958,C,56.0,"Paris, France"
176,0.0,3,male,7.8542,S,18.0,"Grimshut, Småland, Sweden"
177,0.0,3,male,25.4667,S,5.0,"Liévin, Pas-de-Calais, France"
178,0.0,1,female,28.7125,C,50.0,"Chicago, Illinois, US"
179,0.0,2,male,13.0,S,30.0,"Auburn, New York, US"
180,0.0,3,male,0.0,S,36.0,"New York City, New York, US"
181,0.0,3,female,69.55,S,7.0,"Peterborough, Cambridgeshire, England"
182,0.0,2,male,15.05,C,39.0,"Paris, France"
183,0.0,3,male,31.3875,S,9.0,"Alseda, Småland, Sweden"
184,1.0,2,male,39.0,S,1.0,"Guntur, Madras Province, British India"
185,1.0,3,female,22.025,S,4.0,"Zürich, Switzerland"
186,0.0,1,male,50.0,S,38.0,"Seattle, Washington, US"
187,1.0,3,female,15.5,Q,26.0,"Pallasgreen, Limerick, Ireland"
188,1.0,1,male,26.55,S,45.0,"New York, New York, US"
189,0.0,3,male,15.5,Q,42.0,"Carrowskehine, Mayo, Ireland"
190,0.0,3,male,7.8958,S,36.0,"Bratina, Croatia"
191,1.0,2,female,13.0,S,21.0,"Brooklyn, New York, US"
192,0.0,2,male,13.0,S,19.0,"St. Ives, Cornwall, England"
193,1.0,3,female,7.8542,S,19.0,"Eskilstrup, Denmark"
194,1.0,2,male,26.0,S,3.0,"Nice, France"
195,1.0,1,female,27.7208,C,44.0,"Denver, Colorado, US"
196,1.0,1,female,146.5208,C,59.0,"New York, New York, US"
197,0.0,3,male,7.75,Q,26.0,"Ballywilliam, Wexford, Ireland"
198,0.0,3,male,8.4042,S,42.0,"Trondheim, Norway"
199,1.0,3,female,7.75,Q,21.0,"Askeaton, Limerick, Ireland"
200,0.0,2,female,13.0,S,24.0,"Paris, France"
201,0.0,3,male,9.5,S,28.0,"Westrozebeke, Belgium"
202,0.0,3,male,69.55,S,16.0,"Peterborough, Cambridgeshire, England"
203,0.0,3,male,6.4958,S,34.0,"Munsala, Finland"
204,0.0,3,male,7.225,C,45.0,"Hardîne, Lebanon"
205,1.0,3,male,8.05,S,18.0,"London, England"
206,0.0,3,female,10.4625,S,2.0,"Indiana Harbor, Indiana, US"
207,0.0,3,male,15.85,S,32.0,"Kotka, Finland"
208,1.0,3,male,18.7875,C,26.0,"Fredericksburg, Virginia, US"
209,1.0,3,female,7.75,Q,16.0,"Corglass, Longford, Ireland"
210,1.0,1,male,31.0,C,39.0,"Glen Ridge, New Jersey, US"
211,0.0,3,male,7.05,S,24.0,"Buenos Aires, Argentina"
212,1.0,2,female,21.0,S,35.0,"London, England, UK"
213,0.0,3,male,7.25,S,22.0,"Holsworthy, Devon, England"
214,0.0,2,male,13.0,S,30.0,"Kølsen, Vorde Sogn, Denmark"
215,0.0,3,male,7.75,Q,22.0,"Aughnacliffe, Longford, Ireland"
216,1.0,1,female,113.275,C,31.0,"Lexington, Massachusetts, US"
217,1.0,3,female,7.925,S,27.0,"Saarijärvi, Finland"
218,0.0,2,male,27.0,S,40.0,"London, England"
219,1.0,1,female,76.2917,C,36.0,"Philadelphia, Pennsylvania, US"
220,0.0,2,male,10.5,S,30.0,"London, England"
221,1.0,3,male,8.05,S,20.0,"London, England"
222,0.0,2,male,13.0,S,29.0,"Lake Arthur, New Mexico, US"
223,0.0,3,male,8.05,S,40.0,"Dorking, Surrey, England"
224,0.0,3,male,7.8958,S,22.0,"Unknown, Bulgaria"
225,1.0,1,male,90.0,S,35.0,"New York, New York, US"
226,0.0,3,male,9.35,S,22.0,"Firtby, Finland"
227,1.0,2,male,10.5,S,19.0,"Chelsea, London, England"
228,0.0,3,male,7.25,S,20.0,"Northlew, Devon, England"
229,0.0,2,male,13.0,S,18.0,"Oslo, Norway"
230,0.0,3,female,25.4667,S,12.0,"Liévin, Pas-de-Calais, France"
231,1.0,1,female,83.475,S,35.0,"New York, New York, US"
232,0.0,3,male,7.775,S,29.0,"Nyköping, Södermanland, Sweden"
233,0.0,2,male,13.5,S,30.0,"Hjo, Västergötland, Sweden"
234,1.0,3,female,31.3875,S,5.0,"Alseda, Småland, Sweden"
235,0.0,2,male,10.5,S,25.0,"London, England"
236,0.0,3,female,7.55,S,21.0,"Thornton Heath, London, England"
237,0.0,2,male,26.0,S,44.0,"Porthoustock, Cornwall, England"
238,1.0,2,female,26.25,S,8.0,"Bishopstoke, Hampshire, England"
239,0.0,2,male,10.5,S,19.0,"Gunnislake, Cornwall, England"
240,0.0,2,male,12.275,S,33.0,"Philadelphia, Pennsylvania, US"
241,0.0,3,female,14.4542,C,19.0,"Unknown, Syria"
242,1.0,3,female,15.5,Q,18.0,"Aghnacliffe, Longford, Ireland"
243,0.0,2,male,10.5,S,29.0,"London, England"
244,0.0,3,male,7.125,S,22.0,"Kauhajoki, Finland"
245,0.0,3,male,7.225,C,30.0,"Ottawa, Ontario, Canada"
246,0.0,1,male,90.0,Q,44.0,"Fond du Lac, Wisconsin, US"
247,0.0,3,female,7.775,S,25.0,"Stockholm, Sweden"
248,1.0,2,female,14.5,S,24.0,"Detroit, Michigan, US"
249,1.0,1,male,52.5542,S,37.0,"New York, New York, US"
250,0.0,2,male,26.0,S,54.0,"London, England, UK"
251,0.0,3,male,7.25,S,19.0,"Penarth, Glamorgan, Wales"
252,0.0,3,female,10.4625,S,29.0,"Indiana Harbor, Indiana, US"
253,0.0,1,male,26.55,S,62.0,"London, England, UK"
254,0.0,3,male,16.1,S,30.0,"Scranton, Pennsylvania, US"
255,0.0,3,female,20.2125,S,41.0,"Suistamo, Finland"
256,1.0,3,female,15.2458,C,27.0,"Tibnin, Lebanon"
257,1.0,1,female,79.2,C,37.0,"New York, New York, US"
258,1.0,1,female,86.5,S,30.0,"London, England, UK"
259,1.0,1,female,512.3292,C,38.0,"Germantown, Pennsylvania, US"
260,1.0,2,female,26.0,S,60.0,"Woodford County, Kentucky, US"
261,0.0,3,male,7.75,Q,26.0,"Caltra, Galway, Ireland"
262,1.0,3,male,31.3875,S,3.0,"Alseda, Småland, Sweden"
263,0.0,1,male,79.65,S,52.0,"New York, New York, US"
264,0.0,1,male,0.0,S,45.0,"Wallasey, Merseyside, England, UK"
265,0.0,3,female,7.75,Q,23.0,"Clonown, Roscommon, Ireland"
266,0.0,2,male,10.5,S,36.0,"Slinfold, West Sussex, England"
267,0.0,3,male,39.6875,S,16.0,"Ylihärmä, South Ostrobothnia, Finland"
268,1.0,3,male,7.775,S,25.0,"Stockholm, Uppland, Sweden"
269,1.0,1,female,153.4625,S,59.0,"Greenwich, Connecticut, US"
270,1.0,1,female,135.6333,S,39.0,"New York, New York, US"
271,0.0,1,male,31.0,S,28.0,"Bryn Mawr, Pennsylvania, US"
272,1.0,3,male,0.0,S,25.0,"Sundbyberg, Sweden"
273,1.0,2,female,19.5,S,41.0,"Wimbledon, London, England"
274,0.0,1,male,29.7,C,36.0,"Brooklyn, New York, US"
275,1.0,3,female,7.75,Q,29.0,"Athenry, Galway, Ireland"
276,1.0,1,female,77.9583,S,62.0,"Hudson, New York, US"
277,0.0,3,female,7.75,S,45.0,"Stockholm, Sweden"
278,0.0,2,male,0.0,S,18.0,"Belfast, Ireland"
279,0.0,3,male,29.125,Q,7.0,"Athlone, Westmeath, Ireland"
280,1.0,3,female,20.25,S,39.0,"East Providence, Rhode Island, US"
281,0.0,3,male,7.75,Q,65.0,"Bunmahon, Waterford, Ireland"
282,0.0,3,male,7.8542,S,28.0,"Eslöv, Skåne, Sweden"
283,0.0,3,male,9.5,S,16.0,"Heldergem, Haaltert, East Flanders, Belgium"
284,1.0,3,male,8.05,S,18.0,"Liss, Hampshire, England"
285,0.0,1,male,26.0,S,57.0,"Streatham, London, England, UK"
286,0.0,3,male,8.6625,C,33.0,"Galdovo, Croatia"
287,1.0,3,male,9.5,S,36.0,"Aspelare, East Flanders, Belgium"
288,0.0,3,male,7.8958,S,22.0,"Gumostnik, Lovech, Bulgaria"
289,1.0,2,male,13.0,S,41.0,"Tokyo, Japan"
290,1.0,3,female,7.75,Q,22.0,"Cortrasna, Cavan, Ireland"
291,1.0,1,female,78.85,S,26.0,"London, England, UK"
292,1.0,1,female,91.0792,C,19.0,"Dowagiac, Michigan, US"
293,0.0,2,male,12.875,C,36.0,"Montreal, Quebec, Canada"
294,0.0,3,female,8.85,S,24.0,"Altdorf, Uri, Switzerland"
295,0.0,3,male,7.8958,S,24.0,"Unknown, Bulgaria"
296,0.0,1,male,27.7208,C,31.0,"Chicago, Illinois, US"
297,0.0,3,male,7.2292,C,35.0,"Kfar Mechi, Syria"
298,0.0,1,female,151.55,S,2.0,"Montreal, Quebec, Canada"
299,1.0,1,male,30.5,S,47.0,"Manchester, England, UK"
300,1.0,1,female,247.5208,C,50.0,"Montreal, Quebec, Canada"
301,1.0,3,female,7.75,Q,20.0,"Cuilmullagh, Mayo, Ireland"
302,1.0,3,male,23.25,Q,24.0,"Carrickatane, Tyrone, Ireland"
303,0.0,3,male,0.0,S,19.0,"Hawthorne, New Jersey, US"
304,1.0,2,female,12.35,Q,46.0,"Castleconnell, Limerick, Ireland[note 1]"
305,0.0,3,male,8.05,S,28.0,"Guernsey, Channel Islands, Channel Islands"
306,1.0,1,male,151.55,S,0.92,"Montreal, Quebec, Canada"
307,1.0,1,female,110.8833,C,42.0,"Haverford, Pennsylvania, US"
308,1.0,1,female,108.9,C,22.0,"Madrid, Spain"
309,0.0,2,male,24.0,C,30.0,Russia
310,1.0,1,female,56.9292,C,31.0,"London, England, UK"
311,1.0,1,female,83.1583,C,24.0,"New York, New York, US"
312,1.0,1,female,262.375,C,18.0,"Cooperstown, New York, US"
313,0.0,2,female,26.0,S,26.0,"Minneapolis, Minnesota, US"
314,0.0,3,male,7.8958,S,28.0,"Vagovina, Croatia"
315,0.0,2,male,26.25,S,47.0,"Ilford, Essex, England"
316,1.0,3,female,7.8542,S,26.0,"Ramkvilla, Småland, Sweden"
317,1.0,2,female,26.0,S,24.0,"Vitebsk, Russian Empire"
318,0.0,2,male,14.0,S,54.0,"Frankfort, Kentucky, US"
319,1.0,1,female,164.8667,S,31.0,"Youngstown, Ohio, US"
320,1.0,1,female,134.5,C,39.0,"Tuxedo Park, New York, US"
321,0.0,3,male,7.25,S,22.0,"Week St Mary, Cornwall, England"
322,0.0,3,male,7.8958,S,27.0,"Unknown, Bulgaria"
